mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0									𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0				
1	0	0	0	0.0	0	1/2	SystemText	3/4	1	1	0								Con moto									
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0					p												
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	0													
2	1	1	1	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1													
2	1	7/4	7/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	2													
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	3													
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	4													
2	1	1	1	0.0	0	0	Spanner	3/4	2	1	0																0	0
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	5												0	0
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6												0	0
2	1	3	3	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7													
3	2	4	4	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	8													
3	2	19/4	19/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	9													
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	10													
3	2	6	6	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	11													
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	12													
3	2	4	4	0.0	0	0	Spanner	3/4	2	1	0																1	1
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	13												1	1
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14												1	1
3	2	6	6	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15													
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	16										0			
3	2	6	6	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	17										0			
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	18													
4	3	7	7	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	19										1			
4	3	22/3	22/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	20										1			
4	3	23/3	23/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	21										1			
4	3	8	8	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	22										1			
4	3	8	8	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	23										1			
4	3	8	8	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	24										1			
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	25										1			
4	3	9	9	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	26										1			
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	27										1			
4	3	7	7	0.0	0	0	Spanner	3/4	2	1	0																2	2
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	28												2	2
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	29												2	2
4	3	9	9	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	30													
5	4	10	10	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	31										1			
5	4	43/4	43/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	32										1			
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33													
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	34													
5	4	10	10	0.0	0	0	Spanner	3/4	2	1	0																3	3
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	35										2		3	3
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36												3	3
6	5	13	13	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	37													
6	5	55/4	55/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	38													
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	39													
6	5	29/2	29/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	40		articAccentAbove											
6	5	31/2	31/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24		1/16	2/3	41													
6	5	47/3	47/3	0.16666666666666666	2/3	2/3	Chord	3/4	1	1	1/24		1/16	2/3	42													
6	5	95/6	95/6	0.16666666666666666	17/24	17/24	Chord	3/4	1	1	1/24		1/16	2/3	43													
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0																	
6	5	13	13	0.0	0	0	Spanner	3/4	2	1	0																4	4
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	44												4	4
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45												4	4
6	5	15	15	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46													
7	6	16	16	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	47													
7	6	67/4	67/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	48													
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49													
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	50													
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	51													
7	6	16	16	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	52													
7	6	16	16	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	53													
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	54													
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	55													
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	56													
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	57													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	58													
8	7	21	21	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	59													
8	7	87/4	87/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	60													
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	61													
8	7	20	20	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	62													
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	63													
8	7	21	21	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	64													
8	7	87/4	87/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	65													
8	7	19	19	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	66													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	67													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	68													
9	8	22	22	0.0	0	0	Spanner	3/4	1	1	0															0		
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	69										3	0		
9	8	23	23	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	70											0		
9	8	22	22	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	71													
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0					mf												
10	9	25	25	0.0	0	0	Spanner	3/4	1	1	0																	
10	9	25	25	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	72													
10	9	25	25	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	73													
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	74													
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	75													
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	76													
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	77													
10	9	25	25	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	78													
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	79										4			
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80										4			
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81													
11	10	28	28	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	82													
11	10	28	28	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	83													
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	84													
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	85													
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	86													
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	87													
11	10	28	28	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	88													
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89										5			
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90										5			
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91													
12	11	31	31	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	92													
12	11	31	31	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	93													
12	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	94													
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	95													
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	96													
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	97													
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	98													
12	11	31	31	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	99													
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	100										6			
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101										6			
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	102													
13	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	103													
13	12	35	35	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	104													
13	12	34	34	0.0	0	0	Spanner	3/4	2	1	0																5	5
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105												5	5
13	12	35	35	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
13	12	35	35	0.0	1/4	1/4	Spanner	3/4	2	1	0																6	6
13	12	35	35	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	106												6	6
14	13	37	37	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	107													
14	13	37	37	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	108													
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	109										7			
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	110										7			
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	111										7			
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	112													
14	13	37	37	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	113													
14	13	37	37	0.0	0	0	Spanner	3/4	2	1	0																	
14	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	114										8			
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115													
14	13	37	37	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	116													
15	14	40	40	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	117													
15	14	40	40	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	118													
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	119										9			
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	120										9			
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	121										9			
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	122													
15	14	40	40	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	123													
15	14	40	40	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	124										10			
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125													
15	14	40	40	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	126													
16	15	43	43	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	127													
16	15	44	44	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	128													
16	15	44	44	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	129													
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	130													
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131													
16	15	45	45	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	132													
16	15	136/3	136/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	133													
16	15	137/3	137/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	134													
16	15	43	43	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	135										11			
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	136													
16	15	43	43	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	137										12			
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	138													
16	15	43	43	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	139													
17	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	140													
17	16	47	47	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	141													
17	16	48	48	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p												
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	142													
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	143										13			
17	16	47	47	0.0	1/4	1/4	Spanner	3/4	2	1	0																7	7
17	16	47	47	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	144												7	7
18	17	49	49	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	145													
18	17	199/4	199/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	146													
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	147													
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	148													
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																	
18	17	49	49	0.0	0	0	Spanner	3/4	2	1	0																8	8
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149												8	8
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150												8	8
18	17	51	51	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151													
19	18	52	52	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	152													
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	153													
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	154													
19	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	155													
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	156													
19	18	52	52	0.0	0	0	Spanner	3/4	2	1	0																9	9
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	157												9	9
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	158												9	9
19	18	54	54	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159													
19	18	53	53	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	160										14			
19	18	54	54	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	161										14			
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	162													
20	19	55	55	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	163													
20	19	166/3	166/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	164													
20	19	167/3	167/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	165													
20	19	56	56	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	166													
20	19	56	56	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	167													
20	19	56	56	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	168										15			
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	169										15			
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	170										15			
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	171													
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																10	10
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	172												10	10
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	173												10	10
20	19	57	57	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174													
21	20	58	58	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	175										16			
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	176										16			
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	177													
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	178													
21	20	58	58	0.0	0	0	Spanner	3/4	2	1	0																11	11
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	179										17		11	11
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180												11	11
